Date,Prix,Variation 24h
2013-01-28,1 BTC = 13.05000000€,0%
2013-01-29,1 BTC = 13.20000000€,1.14%
2013-01-30,1 BTC = 13.79000000€,4.28%
2013-01-31,1 BTC = 14.56000000€,5.29%
2013-02-01,1 BTC = 14.75000000€,1.29%
2013-02-02,1 BTC = 15.35000000€,3.91%
2013-02-03,1 BTC = 15.10000000€,-1.66%
2013-02-04,1 BTC = 14.37000000€,-5.08%
2013-02-05,1 BTC = 14.76000000€,2.64%
2013-02-06,1 BTC = 15.02000000€,1.73%
2013-02-07,1 BTC = 15.20000000€,1.18%
2013-02-08,1 BTC = 15.84000000€,4.04%
2013-02-09,1 BTC = 16.26000000€,2.58%
2013-02-10,1 BTC = 16.85000000€,3.5%
2013-02-11,1 BTC = 17.44000000€,3.38%
2013-02-12,1 BTC = 17.47000000€,0.17%
2013-02-13,1 BTC = 18.00000000€,2.94%
2013-02-14,1 BTC = 18.71000000€,3.79%
2013-02-15,1 BTC = 18.43000000€,-1.52%
2013-02-16,1 BTC = 20.12000000€,8.4%
2013-02-17,1 BTC = 20.20000000€,0.4%
2013-02-18,1 BTC = 20.44000000€,1.17%
2013-02-19,1 BTC = 20.18000000€,-1.29%
2013-02-20,1 BTC = 20.34000000€,0.79%
2013-02-21,1 BTC = 22.26000000€,8.63%
2013-02-22,1 BTC = 22.50000000€,1.07%
2013-02-23,1 BTC = 22.51000000€,0.04%
2013-02-24,1 BTC = 23.00000000€,2.13%
2013-02-25,1 BTC = 22.68000000€,-1.41%
2013-02-26,1 BTC = 22.66000000€,-0.09%
2013-02-27,1 BTC = 23.21000000€,2.37%
2013-02-28,1 BTC = 24.00000000€,3.29%
2013-03-01,1 BTC = 23.50000000€,-2.13%
2013-03-02,1 BTC = 25.64000000€,8.35%
2013-03-03,1 BTC = 26.70000000€,3.97%
2013-03-04,1 BTC = 26.97000000€,1%
2013-03-05,1 BTC = 26.90000000€,-0.26%
2013-03-06,1 BTC = 28.23000000€,4.71%
2013-03-07,1 BTC = 31.47000000€,10.3%
2013-03-08,1 BTC = 32.31000000€,2.6%
2013-03-09,1 BTC = 31.57000000€,-2.34%
2013-03-10,1 BTC = 33.59000000€,6.01%
2013-03-11,1 BTC = 35.80000000€,6.17%
2013-03-12,1 BTC = 35.70000000€,-0.28%
2013-03-13,1 BTC = 37.15000000€,3.9%
2013-03-14,1 BTC = 33.18000000€,-11.97%
2013-03-15,1 BTC = 36.42000000€,8.9%
2013-03-16,1 BTC = 36.52000000€,0.27%
2013-03-17,1 BTC = 36.40000000€,-0.33%
2013-03-18,1 BTC = 36.50000000€,0.27%
2013-03-19,1 BTC = 36.65000000€,0.41%
2013-03-20,1 BTC = 39.50000000€,7.22%
2013-03-21,1 BTC = 46.00000000€,14.13%
2013-03-22,1 BTC = 49.82000000€,7.67%
2013-03-23,1 BTC = 56.00000000€,11.04%
2013-03-24,1 BTC = 53.97000000€,-3.76%
2013-03-25,1 BTC = 49.65000000€,-8.7%
2013-03-26,1 BTC = 55.15000000€,9.97%
2013-03-27,1 BTC = 56.75000000€,2.82%
2013-03-28,1 BTC = 60.93000000€,6.86%
2013-03-29,1 BTC = 69.25000000€,12.01%
2013-03-30,1 BTC = 70.63000000€,1.95%
2013-03-31,1 BTC = 70.86000000€,0.32%
2013-04-01,1 BTC = 72.27000000€,1.95%
2013-04-02,1 BTC = 73.74000000€,1.99%
2013-04-03,1 BTC = 80.77000000€,8.7%
2013-04-04,1 BTC = 92.19000000€,12.39%
2013-04-05,1 BTC = 102.99000000€,10.49%
2013-04-06,1 BTC = 104.00000000€,0.97%
2013-04-07,1 BTC = 108.50000000€,4.15%
2013-04-08,1 BTC = 111.97000000€,3.1%
2013-04-09,1 BTC = 127.16000000€,11.95%
2013-04-10,1 BTC = 143.63000000€,11.47%
2013-04-11,1 BTC = 180.10000000€,20.25%
2013-04-12,1 BTC = 127.01000000€,-41.8%
2013-04-13,1 BTC = 92.00000000€,-38.05%
2013-04-14,1 BTC = 88.00000000€,-4.55%
2013-04-15,1 BTC = 71.00000000€,-23.94%
2013-04-16,1 BTC = 67.40000000€,-5.34%
2013-04-17,1 BTC = 63.00000000€,-6.98%
2013-04-18,1 BTC = 51.10000000€,-23.29%
2013-04-19,1 BTC = 71.50000000€,28.53%
2013-04-20,1 BTC = 82.50000000€,13.33%
2013-04-21,1 BTC = 91.51000000€,9.85%
2013-04-22,1 BTC = 98.15000000€,6.77%
2013-04-23,1 BTC = 92.00000000€,-6.68%
2013-04-24,1 BTC = 95.00000000€,3.16%
2013-04-25,1 BTC = 109.68000000€,13.38%
2013-04-26,1 BTC = 119.00000000€,7.83%
2013-04-27,1 BTC = 108.80000000€,-9.38%
2013-04-28,1 BTC = 105.00000000€,-3.62%
2013-04-29,1 BTC = 100.70000000€,-4.27%
2013-04-30,1 BTC = 104.00000000€,3.17%
2013-05-01,1 BTC = 109.00000000€,4.59%
2013-05-02,1 BTC = 105.55000000€,-3.27%
2013-05-03,1 BTC = 90.00000000€,-17.28%
2013-05-04,1 BTC = 81.18000000€,-10.86%
2013-05-05,1 BTC = 75.00000000€,-8.24%
2013-05-06,1 BTC = 84.49000000€,11.23%
2013-05-07,1 BTC = 88.33000000€,4.35%
2013-05-08,1 BTC = 85.04000000€,-3.87%
2013-05-09,1 BTC = 85.00000000€,-0.05%
2013-05-10,1 BTC = 85.00000000€,0%
2013-05-11,1 BTC = 85.30000000€,0.35%
2013-05-12,1 BTC = 88.11000000€,3.19%
2013-05-13,1 BTC = 90.00000000€,2.1%
2013-05-14,1 BTC = 89.80000000€,-0.22%
2013-05-15,1 BTC = 90.09000000€,0.32%
2013-05-16,1 BTC = 86.01000000€,-4.74%
2013-05-17,1 BTC = 87.95000000€,2.21%
2013-05-18,1 BTC = 91.11000000€,3.47%
2013-05-19,1 BTC = 93.10000000€,2.14%
2013-05-20,1 BTC = 93.65000000€,0.59%
2013-05-21,1 BTC = 93.90000000€,0.27%
2013-05-22,1 BTC = 92.50000000€,-1.51%
2013-05-23,1 BTC = 93.28000000€,0.84%
2013-05-24,1 BTC = 94.41000000€,1.2%
2013-05-25,1 BTC = 96.00000000€,1.66%
2013-05-26,1 BTC = 102.00000000€,5.88%
2013-05-27,1 BTC = 101.00000000€,-0.99%
2013-05-28,1 BTC = 102.29000000€,1.26%
2013-05-29,1 BTC = 101.50000000€,-0.78%
2013-05-30,1 BTC = 99.80000000€,-1.7%
2013-05-31,1 BTC = 102.00000000€,2.16%
2013-06-01,1 BTC = 99.60000000€,-2.41%
2013-06-02,1 BTC = 99.57000000€,-0.03%
2013-06-03,1 BTC = 100.00000000€,0.43%
2013-06-04,1 BTC = 95.49000000€,-4.72%
2013-06-05,1 BTC = 94.00000000€,-1.59%
2013-06-06,1 BTC = 95.00000000€,1.05%
2013-06-07,1 BTC = 93.25000000€,-1.88%
2013-06-08,1 BTC = 92.74000000€,-0.55%
2013-06-09,1 BTC = 87.00000000€,-6.6%
2013-06-10,1 BTC = 82.31000000€,-5.7%
2013-06-11,1 BTC = 76.49000000€,-7.61%
2013-06-12,1 BTC = 80.74000000€,5.26%
2013-06-13,1 BTC = 83.44000000€,3.24%
2013-06-14,1 BTC = 82.73000000€,-0.86%
2013-06-15,1 BTC = 77.53000000€,-6.71%
2013-06-16,1 BTC = 75.90000000€,-2.15%
2013-06-17,1 BTC = 75.20000000€,-0.93%
2013-06-18,1 BTC = 74.65000000€,-0.74%
2013-06-19,1 BTC = 76.79000000€,2.79%
2013-06-20,1 BTC = 80.07000000€,4.1%
2013-06-21,1 BTC = 80.12000000€,0.06%
2013-06-22,1 BTC = 82.00000000€,2.29%
2013-06-23,1 BTC = 82.70000000€,0.85%
2013-06-24,1 BTC = 81.00000000€,-2.1%
2013-06-25,1 BTC = 80.90000000€,-0.12%
2013-06-26,1 BTC = 77.09000000€,-4.94%
2013-06-27,1 BTC = 79.44000000€,2.96%
2013-06-28,1 BTC = 78.91000000€,-0.67%
